individual	replicate	well	batch	sample_id
NA19239	r3	D04	NA19239.r3	NA19239.r3.D04
NA19239	r3	D05	NA19239.r3	NA19239.r3.D05
NA19239	r3	D06	NA19239.r3	NA19239.r3.D06
NA19239	r3	D07	NA19239.r3	NA19239.r3.D07
NA19239	r3	D08	NA19239.r3	NA19239.r3.D08
NA19239	r3	D09	NA19239.r3	NA19239.r3.D09
NA19239	r3	D10	NA19239.r3	NA19239.r3.D10
NA19239	r3	D12	NA19239.r3	NA19239.r3.D12
NA19239	r3	E02	NA19239.r3	NA19239.r3.E02
NA19239	r3	E05	NA19239.r3	NA19239.r3.E05
NA19239	r3	E06	NA19239.r3	NA19239.r3.E06
NA19239	r3	E07	NA19239.r3	NA19239.r3.E07
NA19239	r3	E08	NA19239.r3	NA19239.r3.E08
NA19239	r3	E09	NA19239.r3	NA19239.r3.E09
NA19239	r3	E10	NA19239.r3	NA19239.r3.E10
NA19239	r3	E11	NA19239.r3	NA19239.r3.E11
NA19239	r3	F01	NA19239.r3	NA19239.r3.F01
NA19239	r3	F02	NA19239.r3	NA19239.r3.F02
NA19239	r3	F03	NA19239.r3	NA19239.r3.F03
NA19239	r3	F04	NA19239.r3	NA19239.r3.F04
NA19239	r3	F05	NA19239.r3	NA19239.r3.F05
NA19239	r3	F06	NA19239.r3	NA19239.r3.F06
NA19239	r3	F07	NA19239.r3	NA19239.r3.F07
NA19239	r3	F08	NA19239.r3	NA19239.r3.F08
NA19239	r3	F09	NA19239.r3	NA19239.r3.F09
NA19239	r3	F10	NA19239.r3	NA19239.r3.F10
NA19239	r3	F11	NA19239.r3	NA19239.r3.F11
NA19239	r3	F12	NA19239.r3	NA19239.r3.F12
NA19239	r3	G03	NA19239.r3	NA19239.r3.G03
NA19239	r3	G05	NA19239.r3	NA19239.r3.G05
NA19239	r3	G06	NA19239.r3	NA19239.r3.G06
NA19239	r3	G07	NA19239.r3	NA19239.r3.G07
NA19239	r3	G08	NA19239.r3	NA19239.r3.G08
NA19239	r3	G09	NA19239.r3	NA19239.r3.G09
NA19239	r3	G11	NA19239.r3	NA19239.r3.G11
NA19239	r3	G12	NA19239.r3	NA19239.r3.G12
NA19239	r3	H01	NA19239.r3	NA19239.r3.H01
NA19239	r3	H03	NA19239.r3	NA19239.r3.H03
NA19239	r3	H04	NA19239.r3	NA19239.r3.H04
NA19239	r3	H05	NA19239.r3	NA19239.r3.H05
NA19239	r3	H06	NA19239.r3	NA19239.r3.H06
NA19239	r3	H07	NA19239.r3	NA19239.r3.H07
NA19239	r3	H08	NA19239.r3	NA19239.r3.H08
NA19239	r3	H09	NA19239.r3	NA19239.r3.H09
NA19239	r3	H11	NA19239.r3	NA19239.r3.H11
NA19239	r3	H12	NA19239.r3	NA19239.r3.H12
